item_id,name,stock_count
KQYR3ARYDC2XW,UpTown Funnel Small,-4.0
TMEVWACM8XB90,Tylenol Children's Liquid Oral Suspension Medicine | Acetaminophen Pain Reliever & Fever Reducer For Cold + Flu Symptoms & Sore,-6.0
K3WKA023HRSH4,Twizzlers Twists Strawberry Flavored Chewy Candy | Low Fat | 5 Oz | King Size Bag,-64.0
4R833A9T425MM,Twinings Of London Darjeeling Pure Black Tea Bags,-2.0
N3H7DMS89CDY4,Pareto's Estate 80/20 Cabernet Sauvignon Trocken | Rotwein 2018,-8.0
JQHBDP9Z3CP7M,Trojan Sensitivity Ultra Thin Lubricated Premium Latex Condoms - 3 Count,-2.0
G0NWX142HQ7FP,Triscuit Roasted Garlic Crackers - 8.5oz,-3.0
53M7KY8X5S6YP,Trojan Fire & Ice Dual Action Lubricant 3 Latex Condoms,-8.0
7ASCAE0K6FBK2,Trident White Peppermint Sugar Free Gum - 16ct,-2.0
DVKF4C8NGMXNG,Town House Pita Crackers | Everything 9.5 Oz,-5.0
8B51VVF236872,Town House Keebler | Pita | Crackers | Sea Salt | 9.5 Oz,-23.0
E0KHTC6MPK5WC,Toll House Nestle Morsels Milk Chocolate Chips 11.5oz Bag,-1.0
B2YX1JS43WWC8,Tide Pods HE Original Scent Liquid Detergent Pacs,-22.0
CZC6G4P9FMHD2,Theraflu Multi-Symptom Severe Cold Relief Powder - Acetaminophen - Green Tea & Honey Lemon - 6ct,-1.0
AC901QVS49HN4,Theraflu Daytime Severe Cold & Cough Packets Berry & Green Tea Flavors,-1.0
5NVVPXPF24X4M,Thai Kitchen Gluten Free Unsweetened Coconut Milk 13.66 Fl Oz,-3.0
SMYM38QQQNJHT,tictac freshmint 1oz,-4.0
9N6WWTTJPN7JT,Tasty Bite Mild Indian Vegetable Tikka Masala | 10 Oz,-3.0
WFNYVH2P2TZXP,Senate Beer,-28.0
NMQF94YJ08692,Swan Rubbing Alcohol 16oz White,-4.0
GNNEGZJ53P3M2,SunChips French Onion 100% Whole Grain Snacks 7 Oz. Bag,-9.0
T2EN9YESK7AYC,Suave Men 3 In 1 Salon-Proven Shampoo & Conditioner & Body Wash | Charcoal | 28 Oz,-1.0
PHFRMH3KQHR6E,White Onion (Large),-60.0
P2TVBT99TPD28,Stella Artois,-3.0
